Room created: ROOM at 20251011-025958
Server: server
[2025-10-11 | 03:00:21] {hi} ('127.0.0.1', 63501) :- joined the room
[2025-10-11 | 03:00:25] {hi} ('127.0.0.1', 63503) :- joined the room
[2025-10-11 | 03:00:30] {hello} ('127.0.0.1', 63507) :- joined the room
[2025-10-11 | 03:00:35] {hi} ('127.0.0.1', 63501) :- fgf'
[2025-10-11 | 03:00:36] {hi} ('127.0.0.1', 63503) :- '
[2025-10-11 | 03:00:40] {hello} ('127.0.0.1', 63507) :- k
[2025-10-11 | 03:00:41] {hi} ('127.0.0.1', 63503) :- k
[2025-10-11 | 03:00:41] {hi} ('127.0.0.1', 63503) :- k
[2025-10-11 | 03:00:43] {hi} ('127.0.0.1', 63503) :- kkk
[2025-10-11 | 03:00:45] {hi} ('127.0.0.1', 63503) :- kkhh
[2025-10-11 | 03:01:25] {hello} ('127.0.0.1', 63507) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 03:01:29] {hi} ('127.0.0.1', 63501) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 03:01:29] {hi} ('127.0.0.1', 63503) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
