Room created: ROOM at 20251011-10-06-25
Server: server
[2025-10-11 | 10:06:40] {Guest} ('127.0.0.1', 51238) :- joined the room
[2025-10-11 | 10:06:43] {Guest} ('127.0.0.1', 51237) :- joined the room
[2025-10-11 | 10:06:46] {('127.0.0.1', 51240)} ('127.0.0.1', 51240) :- ERROR: timed out
[2025-10-11 | 10:06:46] {('127.0.0.1', 51240)} ('127.0.0.1', 51240) :- joined the room
[2025-10-11 | 10:06:46] {Guest} ('127.0.0.1', 51238) :- hi
[2025-10-11 | 10:06:51] {('127.0.0.1', 51240)} ('127.0.0.1', 51240) :- jeet
[2025-10-11 | 10:06:52] {('127.0.0.1', 51240)} ('127.0.0.1', 51240) :- ji
[2025-10-11 | 10:06:55] {('127.0.0.1', 51240)} ('127.0.0.1', 51240) :- hi
[2025-10-11 | 10:06:56] {('127.0.0.1', 51240)} ('127.0.0.1', 51240) :- hi
[2025-10-11 | 10:06:59] {Guest} ('127.0.0.1', 51237) :- hi
[2025-10-11 | 10:07:01] {Guest} ('127.0.0.1', 51238) :- hi
[2025-10-11 | 10:07:01] {('127.0.0.1', 51240)} ('127.0.0.1', 51240) :- ERROR: timed out
[2025-10-11 | 10:07:04] {Guest} ('127.0.0.1', 51238) :- ji
[2025-10-11 | 10:07:08] {Guest} ('127.0.0.1', 51238) :- hi
[2025-10-11 | 10:07:10] {Guest} ('127.0.0.1', 51237) :- hi
[2025-10-11 | 10:07:24] {jeet} ('127.0.0.1', 51259) :- joined the room
[2025-10-11 | 10:07:26] {jeet} ('127.0.0.1', 51259) :- ji
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- d
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- s
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- d
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- s
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- ds
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- d
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- d
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- d
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- d
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- d
[2025-10-11 | 10:07:30] {Guest} ('127.0.0.1', 51238) :- sd
[2025-10-11 | 10:07:30] {Guest} ('127.0.0.1', 51238) :- s
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- ds
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- d
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- s
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- d
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- s
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- d
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- s
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- d
[2025-10-11 | 10:07:32] {Guest} ('127.0.0.1', 51238) :- s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sd
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- d
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- d
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- d
[2025-10-11 | 10:07:35] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:35] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:35] {Guest} ('127.0.0.1', 51237) :- d
[2025-10-11 | 10:07:38] {jeet} ('127.0.0.1', 51259) :- connection reset
[2025-10-11 | 10:07:41] {Guest} ('127.0.0.1', 51238) :- connection reset
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- ssd
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- dsd
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:44] {Guest} ('127.0.0.1', 51237) :- d
[2025-10-11 | 10:07:44] {Guest} ('127.0.0.1', 51237) :- s
[2025-10-11 | 10:07:45] {Guest} ('127.0.0.1', 51237) :- ds
