Room created: ROOM at 20251011-031715
Server: server
[2025-10-11 | 03:17:43] {jexx} ('127.0.0.1', 64707) :- joined the room
[2025-10-11 | 03:17:45] {Guest} ('127.0.0.1', 64708) :- joined the room
[2025-10-11 | 03:17:48] {jeet} ('127.0.0.1', 64711) :- joined the room
[2025-10-11 | 03:17:54] {jexx} ('127.0.0.1', 64707) :- hi
[2025-10-11 | 03:17:58] {Guest} ('127.0.0.1', 64708) :- jet
[2025-10-11 | 03:18:02] {jeet} ('127.0.0.1', 64711) :- ha bol
[2025-10-11 | 03:18:09] {jexx} ('127.0.0.1', 64707) :- ha bhai vo school?
[2025-10-11 | 03:18:12] {Guest} ('127.0.0.1', 64708) :- lol
[2025-10-11 | 03:18:16] {jeet} ('127.0.0.1', 64711) :- maja aagya
[2025-10-11 | 03:18:22] {jexx} ('127.0.0.1', 64707) :- ha
[2025-10-11 | 03:18:25] {Guest} ('127.0.0.1', 64708) :- gadha
[2025-10-11 | 03:18:27] {jeet} ('127.0.0.1', 64711) :- lol
