Room created: ROOM at 20251011-08-39-33
Server: server
[2025-10-11 | 08:39:58] {jex} ('127.0.0.1', 64090) :- joined the room
[2025-10-11 | 08:40:01] {jex2} ('127.0.0.1', 64095) :- joined the room
[2025-10-11 | 08:40:05] {jex} ('127.0.0.1', 64090) :- hi
[2025-10-11 | 08:40:06] {jex} ('127.0.0.1', 64090) :- jai
[2025-10-11 | 08:40:10] {jex2} ('127.0.0.1', 64095) :- hello
[2025-10-11 | 08:40:11] {jex2} ('127.0.0.1', 64095) :- ambae
[2025-10-11 | 08:40:16] {jex} ('127.0.0.1', 64090) :- hi
[2025-10-11 | 08:40:19] {jex} ('127.0.0.1', 64090) :- kkem cho
[2025-10-11 | 08:40:23] {jex2} ('127.0.0.1', 64095) :- majama
[2025-10-11 | 08:40:38] {jex2} ('127.0.0.1', 64095) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 08:40:40] {jex} ('127.0.0.1', 64090) :- hi
[2025-10-11 | 08:40:43] {jex} ('127.0.0.1', 64090) :- hielo
[2025-10-11 | 08:40:54] {jex2} ('127.0.0.1', 64134) :- joined the room
[2025-10-11 | 08:40:57] {jex2} ('127.0.0.1', 64134) :- hello
[2025-10-11 | 08:41:01] {jex2} ('127.0.0.1', 64134) :- hi kem cho
[2025-10-11 | 08:41:03] {jex2} ('127.0.0.1', 64134) :- bhao
[2025-10-11 | 08:41:09] {jex2} ('127.0.0.1', 64134) :- hala
[2025-10-11 | 08:41:12] {jex2} ('127.0.0.1', 64134) :- kai tai
[2025-10-11 | 08:41:16] {jex} ('127.0.0.1', 64090) :- eit
[2025-10-11 | 08:41:17] {jex} ('127.0.0.1', 64090) :- exit
[2025-10-11 | 08:41:21] {jex} ('127.0.0.1', 64090) :- /exit
[2025-10-11 | 08:41:27] {jex2} ('127.0.0.1', 64134) :- \exit
[2025-10-11 | 08:41:35] {jex} ('127.0.0.1', 64090) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
