[2025-10-12 | 09:49:10] {jeet} ('127.0.0.1', 65514) :- joined the room
[2025-10-12 | 09:49:11] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:49:11] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:12] {jeet} ('127.0.0.1', 65514) :- sent: sd
[2025-10-12 | 09:49:12] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:49:12] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:12] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:49:12] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:12] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:49:12] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:13] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:49:13] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:13] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:49:13] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:13] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:49:52] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:52] {jeet} ('127.0.0.1', 65514) :- sent: sd
[2025-10-12 | 09:49:52] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:53] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:49:53] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:50:00] {jeet} ('127.0.0.1', 65514) :- sent: ds
[2025-10-12 | 09:50:00] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:50:01] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:50:05] {jeet} ('127.0.0.1', 65514) :- sent: sdd
[2025-10-12 | 09:50:06] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:50:24] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:50:24] {jeet} ('127.0.0.1', 65514) :- sent: ds
[2025-10-12 | 09:50:24] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:50:24] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:50:25] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:50:25] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:50:25] {jeet} ('127.0.0.1', 65514) :- sent: ds
[2025-10-12 | 09:50:30] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 | 09:50:30] {jeet} ('127.0.0.1', 65514) :- sent: sd
[2025-10-12 | 09:50:30] {jeet} ('127.0.0.1', 65514) :- sent: s
[2025-10-12 | 09:50:31] {jeet} ('127.0.0.1', 65514) :- sent: d
[2025-10-12 09:55:40] {jeet} ('127.0.0.1', 65514) :- client exited
