Room created: ROOM at 20251011-09-03-27
Server: server
[2025-10-11 | 09:03:42] {jeet} ('127.0.0.1', 50097) :- joined the room
[2025-10-11 | 09:03:44] {jex} ('127.0.0.1', 50099) :- joined the room
[2025-10-11 | 09:03:51] {jeet} ('127.0.0.1', 50097) :- hi
[2025-10-11 | 09:03:54] {jex} ('127.0.0.1', 50099) :- jeet
[2025-10-11 | 09:03:57] {jeet} ('127.0.0.1', 50097) :- hello
[2025-10-11 | 09:04:01] {jex} ('127.0.0.1', 50099) :- python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:04] {jeet} ('127.0.0.1', 50097) :- python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:05] {jex} ('127.0.0.1', 50099) :- python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:07] {jeet} ('127.0.0.1', 50097) :- python client.py --key shared.key --host 127.0.0.1 --port 65432 --name client
[2025-10-11 | 09:04:10] {jeet} ('127.0.0.1', 50097) :- helo
[2025-10-11 | 09:04:13] {jex} ('127.0.0.1', 50099) :- hello
[2025-10-11 | 09:04:16] {jex} ('127.0.0.1', 50099) :- eit
[2025-10-11 | 09:04:20] {jex} ('127.0.0.1', 50099) :- /help
[2025-10-11 | 09:04:25] {jex} ('127.0.0.1', 50099) :- \help
[2025-10-11 | 09:04:38] {jex} ('127.0.0.1', 50099) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 09:04:42] {jeet} ('127.0.0.1', 50097) :- hello
[2025-10-11 | 09:04:46] {jeet} ('127.0.0.1', 50097) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 09:05:00] {jai} ('127.0.0.1', 50171) :- joined the room
[2025-10-11 | 09:05:03] {amba} ('127.0.0.1', 50172) :- joined the room
[2025-10-11 | 09:05:05] {lal} ('127.0.0.1', 50177) :- joined the room
[2025-10-11 | 09:05:09] {lal} ('127.0.0.1', 50177) :- hi
[2025-10-11 | 09:05:12] {jai} ('127.0.0.1', 50171) :- i
[2025-10-11 | 09:05:15] {amba} ('127.0.0.1', 50172) :- hell
[2025-10-11 | 09:05:19] {jai} ('127.0.0.1', 50171) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 09:05:19] {amba} ('127.0.0.1', 50172) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 09:05:20] {lal} ('127.0.0.1', 50177) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 09:05:34] {hello} ('127.0.0.1', 50204) :- joined the room
