Room created: ROOM at 20251011-025136
Server: server
[2025-10-11 02:51:44] JOIN: ('127.0.0.1', 62495)
[2025-10-11 02:51:47] JOIN: ('127.0.0.1', 62500)
[2025-10-11 02:51:49] JOIN: ('127.0.0.1', 62504)
[2025-10-11 02:51:52] ('127.0.0.1', 62495): hi
[2025-10-11 02:51:55] ('127.0.0.1', 62500): hello
[2025-10-11 02:51:59] ('127.0.0.1', 62504): hi ji
[2025-10-11 02:52:50] ('127.0.0.1', 62495): hi
[2025-10-11 02:52:51] ('127.0.0.1', 62500): hello
[2025-10-11 02:52:53] ('127.0.0.1', 62504): hi ji
[2025-10-11 02:52:55] ('127.0.0.1', 62504): hi ji
[2025-10-11 02:52:57] ('127.0.0.1', 62504): hi ji
[2025-10-11 02:53:08] ('127.0.0.1', 62495): hello
[2025-10-11 02:53:26] ('127.0.0.1', 62495): h'
