Room created: ROOM at 20251011-03-24-11
Server: server
[2025-10-11 | 03:24:28] {j1} ('127.0.0.1', 65292) :- joined the room
[2025-10-11 | 03:24:30] {j2} ('127.0.0.1', 65293) :- joined the room
[2025-10-11 | 03:24:32] {j3} ('127.0.0.1', 65294) :- joined the room
[2025-10-11 | 03:24:35] {j4} ('127.0.0.1', 65298) :- joined the room
[2025-10-11 | 03:24:41] {j1} ('127.0.0.1', 65292) :- hi
[2025-10-11 | 03:24:44] {j2} ('127.0.0.1', 65293) :- hello
[2025-10-11 | 03:24:46] {j3} ('127.0.0.1', 65294) :- jai
[2025-10-11 | 03:24:50] {j4} ('127.0.0.1', 65298) :- ambe
[2025-10-11 | 03:25:05] {j4} ('127.0.0.1', 65298) :- heelo
[2025-10-11 | 03:25:08] {j1} ('127.0.0.1', 65292) :- ji
[2025-10-11 | 03:25:11] {j2} ('127.0.0.1', 65293) :- ha
[2025-10-11 | 03:26:12] {j4} ('127.0.0.1', 65298) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 03:26:33] {j1} ('127.0.0.1', 65292) :- hi
[2025-10-11 | 03:26:33] {j1} ('127.0.0.1', 65292) :- disconnected
[2025-10-11 | 03:26:40] {j2} ('127.0.0.1', 65293) :- hi
[2025-10-11 | 03:26:40] {j2} ('127.0.0.1', 65293) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 03:26:43] {j3} ('127.0.0.1', 65294) :- nan
[2025-10-11 | 03:26:43] {j3} ('127.0.0.1', 65294) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 03:27:44] {jeet} ('127.0.0.1', 65493) :- joined the room
[2025-10-11 | 03:27:47] {jeet} ('127.0.0.1', 65493) :- hi
[2025-10-11 | 03:27:56] {jeet} ('127.0.0.1', 65493) :- jeelo
[2025-10-11 | 03:28:17] {ki} ('127.0.0.1', 65525) :- joined the room
[2025-10-11 | 03:28:24] {ki} ('127.0.0.1', 65525) :- hi
[2025-10-11 | 03:28:27] {ki} ('127.0.0.1', 65525) :- hello
[2025-10-11 | 03:28:45] {jeet} ('127.0.0.1', 65493) :- hi
[2025-10-11 | 03:28:48] {ki} ('127.0.0.1', 65525) :- hisadas
[2025-10-11 | 03:28:58] {ki} ('127.0.0.1', 65525) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 | 03:29:04] {jeet} ('127.0.0.1', 65493) :- i
[2025-10-11 | 03:29:04] {jeet} ('127.0.0.1', 65493) :- disconnected
