[2025-10-11 | 02:51:44] {client} ('127.0.0.1', 62495) :- joined the room
[2025-10-11 | 02:51:47] {client} ('127.0.0.1', 62500) :- joined the room
[2025-10-11 | 02:51:47] {client} ('127.0.0.1', 62495) :- ('127.0.0.1', 62500) joined the room.
[2025-10-11 | 02:51:49] {client} ('127.0.0.1', 62504) :- joined the room
[2025-10-11 | 02:51:49] {client} ('127.0.0.1', 62495) :- ('127.0.0.1', 62504) joined the room.
[2025-10-11 | 02:51:49] {client} ('127.0.0.1', 62500) :- ('127.0.0.1', 62504) joined the room.
[2025-10-11 | 02:51:52] {client} ('127.0.0.1', 62500) :- hi
[2025-10-11 | 02:51:52] {client} ('127.0.0.1', 62504) :- hi
[2025-10-11 | 02:51:55] {client} ('127.0.0.1', 62504) :- hello
[2025-10-11 | 02:51:55] {client} ('127.0.0.1', 62495) :- hello
[2025-10-11 | 02:51:59] {client} ('127.0.0.1', 62500) :- hi ji
[2025-10-11 | 02:52:50] {client} ('127.0.0.1', 62500) :- hi
[2025-10-11 | 02:52:51] {client} ('127.0.0.1', 62504) :- hello
[2025-10-11 | 02:52:51] {client} ('127.0.0.1', 62495) :- hello
[2025-10-11 | 02:52:53] {client} ('127.0.0.1', 62500) :- hi ji
[2025-10-11 | 02:52:53] {client} ('127.0.0.1', 62495) :- hi ji
[2025-10-11 | 02:52:55] {client} ('127.0.0.1', 62495) :- hi ji
[2025-10-11 | 02:52:57] {client} ('127.0.0.1', 62500) :- hi ji
[2025-10-11 | 02:52:57] {client} ('127.0.0.1', 62495) :- hi ji
[2025-10-11 | 02:53:08] {client} ('127.0.0.1', 62500) :- hello
[2025-10-11 | 02:53:08] {client} ('127.0.0.1', 62504) :- hello
[2025-10-11 | 02:53:26] {client} ('127.0.0.1', 62500) :- h'
[2025-10-11 | 03:00:07] {client} ('127.0.0.1', 63501) :- joined the room
[2025-10-11 | 03:00:08] {client} ('127.0.0.1', 63503) :- joined the room
[2025-10-11 | 03:00:10] {client} ('127.0.0.1', 63507) :- joined the room
[2025-10-11 | 03:00:21] {client} ('127.0.0.1', 63507) :- hi joined the room.
[2025-10-11 | 03:00:21] {client} ('127.0.0.1', 63503) :- hi joined the room.
[2025-10-11 | 03:00:25] {client} ('127.0.0.1', 63501) :- hi joined the room.
[2025-10-11 | 03:00:30] {client} ('127.0.0.1', 63503) :- hello joined the room.
[2025-10-11 | 03:00:30] {client} ('127.0.0.1', 63501) :- hello joined the room.
[2025-10-11 | 03:00:35] {client} ('127.0.0.1', 63503) :- fgf'
[2025-10-11 | 03:00:35] {client} ('127.0.0.1', 63507) :- fgf'
[2025-10-11 | 03:00:36] {client} ('127.0.0.1', 63501) :- '
[2025-10-11 | 03:00:36] {client} ('127.0.0.1', 63507) :- '
[2025-10-11 | 03:00:40] {client} ('127.0.0.1', 63501) :- k
[2025-10-11 | 03:00:40] {client} ('127.0.0.1', 63503) :- k
[2025-10-11 | 03:00:41] {client} ('127.0.0.1', 63507) :- k
[2025-10-11 | 03:00:41] {client} ('127.0.0.1', 63501) :- k
[2025-10-11 | 03:00:43] {client} ('127.0.0.1', 63501) :- kkk
[2025-10-11 | 03:00:43] {client} ('127.0.0.1', 63507) :- kkk
[2025-10-11 | 03:00:45] {client} ('127.0.0.1', 63501) :- kkhh
[2025-10-11 | 03:00:45] {client} ('127.0.0.1', 63507) :- kkhh
[2025-10-11 | 03:05:27] {jeet} ('127.0.0.1', 63917) :- joined the room
[2025-10-11 | 03:05:31] {het} ('127.0.0.1', 63916) :- joined the room
[2025-10-11 | 03:05:31] {jeet} ('127.0.0.1', 63917) :- het joined the room.
[2025-10-11 | 03:05:31] {het} ('127.0.0.1', 63916) :- jeet joined the room.
[2025-10-11 | 03:05:34] {jeet} ('127.0.0.1', 63917) :- i
[2025-10-11 | 03:05:37] {het} ('127.0.0.1', 63916) :- hi
[2025-10-11 | 03:05:41] {jeet} ('127.0.0.1', 63917) :- hey there
[2025-10-11 | 03:06:22] {jex} ('127.0.0.1', 63973) :- joined the room
om.

[2025-10-11 | 03:06:27] {jeet} ('127.0.0.1', 63917) :- hi
[2025-10-11 | 03:09:50] {jeet} ('127.0.0.1', 64497) :- joined the room
[2025-10-11 | 03:09:53] {jex} ('127.0.0.1', 64498) :- joined the room
[2025-10-11 | 03:09:53] {jeet} ('127.0.0.1', 64497) :- jex joined the room.
[2025-10-11 | 03:09:53] {jex} ('127.0.0.1', 64498) :- jeet joined the room.
[2025-10-11 | 03:09:56] {jex} ('127.0.0.1', 64498) :- hi
[2025-10-11 | 03:10:02] {jex} ('127.0.0.1', 64498) :- hi
[2025-10-11 | 03:10:05] {jeet} ('127.0.0.1', 64497) :- hi
[2025-10-11 | 03:17:43] {jexx} ('127.0.0.1', 64707) :- joined the room
[2025-10-11 | 03:17:45] {Guest} ('127.0.0.1', 64708) :- joined the room
[2025-10-11 | 03:17:45] {jexx} ('127.0.0.1', 64707) :- Guest joined the room.
[2025-10-11 | 03:17:45] {Guest} ('127.0.0.1', 64708) :- jexx joined the room.
[2025-10-11 | 03:17:48] {jeet} ('127.0.0.1', 64711) :- joined the room
[2025-10-11 | 03:17:48] {Guest} ('127.0.0.1', 64708) :- jeet joined the room.
[2025-10-11 | 03:17:48] {jeet} ('127.0.0.1', 64711) :- jexx joined the room.
[2025-10-11 | 03:17:48] {jeet} ('127.0.0.1', 64711) :- Guest joined the room.
[2025-10-11 | 03:17:54] {jeet} ('127.0.0.1', 64711) :- jexx: hi

[2025-10-11 | 03:17:58] {jeet} ('127.0.0.1', 64711) :- Guest: jet
[2025-10-11 | 03:18:02] {Guest} ('127.0.0.1', 64708) :- jeet: ha bol
[2025-10-11 | 03:18:09] {jeet} ('127.0.0.1', 64711) :- jexx: ha bhai vo school?
[2025-10-11 | 03:18:09] {Guest} ('127.0.0.1', 64708) :- jexx: ha bhai vo school?
[2025-10-11 | 03:18:12] {jexx} ('127.0.0.1', 64707) :- Guest: lol
[2025-10-11 | 03:18:16] {jexx} ('127.0.0.1', 64707) :- jeet: maja aagya
[2025-10-11 | 03:18:16] {Guest} ('127.0.0.1', 64708) :- jeet: maja aagya
