Room created: ROOM at 20251011-11-34-59
Server: server
[2025-10-11 | 11:35:03] {client} ('127.0.0.1', 53854) :- joined the room
[2025-10-11 | 11:35:05] {client} ('127.0.0.1', 53854) :- hi
[2025-10-11 | 11:35:16] {client} ('127.0.0.1', 53878) :- joined the room
[2025-10-11 | 11:35:28] {jeet} ('127.0.0.1', 53895) :- joined the room
[2025-10-11 | 11:35:35] {jeet} ('127.0.0.1', 53895) :- hi
[2025-10-11 | 11:35:39] {jeet} ('127.0.0.1', 53895) :- hello
[2025-10-11 | 11:35:43] {client} ('127.0.0.1', 53854) :- f
[2025-10-11 | 11:35:45] {client} ('127.0.0.1', 53878) :- sfa
[2025-10-11 | 11:35:47] {jeet} ('127.0.0.1', 53895) :- saff
[2025-10-11 | 11:36:27] {jeet} ('127.0.0.1', 53895) :- connection reset
[2025-10-11 | 11:36:28] {client} ('127.0.0.1', 53878) :- connection reset
[2025-10-11 | 11:36:28] {client} ('127.0.0.1', 53854) :- connection reset
[2025-10-11 | 11:38:15] {jeet1} ('127.0.0.1', 54020) :- joined the room
[2025-10-11 | 11:38:20] {jeet1} ('127.0.0.1', 54020) :- hi
[2025-10-11 | 11:38:23] {jeet1} ('127.0.0.1', 54020) :- \quit
[2025-10-11 | 11:38:27] {jeet1} ('127.0.0.1', 54020) :- left the room
[2025-10-11 | 11:38:37] {client} ('127.0.0.1', 54032) :- joined the room
[2025-10-11 | 11:38:39] {client} ('127.0.0.1', 54032) :- hi
