[2025-10-12 | 09:55:41] {User2} ('127.0.0.1', 49819) :- joined the room
[2025-10-12 | 09:56:28] {User2} ('127.0.0.1', 49819) :- sent: sd
[2025-10-12 | 09:56:28] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:29] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:29] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:29] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:29] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:29] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:29] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:29] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:30] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:32] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:32] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:32] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:33] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:34] {User2} ('127.0.0.1', 49819) :- sent: sd
[2025-10-12 | 09:56:34] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:34] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:34] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:34] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:34] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:35] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:35] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:35] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:35] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:35] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:35] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:36] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:36] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:36] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:36] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:36] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:36] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:36] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:37] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:37] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:37] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:37] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:37] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:38] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:38] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:38] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:38] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:38] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- sent: sds
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- sent: sd
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- sent: s
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- Session key rotated.
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- sent: ds
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- sent: d
[2025-10-12 | 09:56:39] {User2} ('127.0.0.1', 49819) :- sent: s
