[2025-10-12 | 12:45:51] {jeet} ('192.168.56.1', 65222) :- joined the room
[2025-10-12 | 12:45:54] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:54] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:55] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:55] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:55] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:55] {jeet} ('192.168.56.1', 65222) :- Session key rotated.
[2025-10-12 | 12:45:55] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:56] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:56] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:56] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:57] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:57] {jeet} ('192.168.56.1', 65222) :- Session key rotated.
[2025-10-12 | 12:45:57] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 | 12:45:58] {jeet} ('192.168.56.1', 65222) :- sent: D
[2025-10-12 12:49:17] {jeet} ('192.168.56.1', 65222) :- client exited
