Room created: ROOM at 20251011-08-45-43
Server: server
[2025-10-11 | 08:45:54] {jeet} ('127.0.0.1', 64716) :- joined the room
[2025-10-11 | 08:45:57] {jex} ('127.0.0.1', 64718) :- joined the room
[2025-10-11 | 08:46:01] {jeet} ('127.0.0.1', 64716) :- hi
[2025-10-11 | 08:46:26] {jeet} ('127.0.0.1', 64716) :- heello
hi
[2025-10-11 | 08:46:50] {jeet} ('127.0.0.1', 64716) :- hi
[2025-10-11 | 08:46:53] {jex} ('127.0.0.1', 64718) :- hello
[2025-10-11 | 08:46:57] {jeet} ('127.0.0.1', 64716) :- jkem
[2025-10-11 | 08:47:01] {jex} ('127.0.0.1', 64718) :- majama
hi[2025-10-11 | 08:47:26] {jeet} ('127.0.0.1', 64716) :- jkfg
[2025-10-11 | 08:47:27] {jeet} ('127.0.0.1', 64716) :- f
[2025-10-11 | 08:47:27] {jeet} ('127.0.0.1', 64716) :- g
[2025-10-11 | 08:47:27] {jeet} ('127.0.0.1', 64716) :- f
[2025-10-11 | 08:47:27] {jeet} ('127.0.0.1', 64716) :- g
[2025-10-11 | 08:47:27] {jeet} ('127.0.0.1', 64716) :- f
[2025-10-11 | 08:47:27] {jeet} ('127.0.0.1', 64716) :- gf
[2025-10-11 | 08:47:28] {jeet} ('127.0.0.1', 64716) :- g
